,title,artist,lyrics
382,Starving,Hailee Steinfeld,"You know just what to say
Shit, that scares me, I should just walk away
But I can't move my feet
The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday, oh

I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you

(I didn't know that I-I didn't know that I-till I tasted you)
(I didn't know that I-I didn't know that I-till I tasted you)
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you

You know just how to make my heart beat faster
Emotional earthquake, bring on disaster
You hit me head-on, got me weak in my knees
Yeah, something inside me's changed
I was so much younger yesterday, ye-eah
So much younger yesterday, oh, yeah

I didn't know that I was starving till I tasted you
Don't need no butterflies when you give me the whole damn zoo
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you

(I didn't know that I-I didn't know that I-till I tasted you)
(I didn't know that I-I didn't know that I-till I tasted you)
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you

You, yeah, till I tasted you
(I didn't know that I-I didn't know that I-till I tasted you)
By the way, by the way, you do things to my body
I didn't know that I was starving till I tasted you, ooh, ooh, ooh, ooh

Na-na-na-na
Na-na-na-na
The more that I know you, the more I want to
Something inside me's changed
I was so much younger yesterday"
383,Shout Out to My Ex,Little Mix,
384,Electric Love,BØRNS,"Candy, she's sweet like candy in my veins
Baby, I'm dying for another taste
And every night my mind is running around her
Thunder's getting louder and louder
Baby you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck by your electric love
Baby your electric love
Electric love

Drown me
You make my heart beat like the rain
Surround me
Hold me deep beneath your waves
And every night my mind is running around her
Thunders getting louder and louder
Baby you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck by your electric love
Baby your electric love
Electric love

Rushing through me
Feel your energy rushing through me
Feel your energy rushing through me
Baby you're like lightning in a bottle
I can't let you go now that I got it
And all I need is to be struck by your electric love
Baby your electric love
Baby you're electric"
385,Confident,Demi Lovato,"Are you ready?

It's time for me to take it
I'm the boss right now
Not gonna fake it
Not when you go down
'Cuz this is my game
And you better come to play

I used to hold my freak back
Now I'm letting go
I make my own choice
Bitch, I run the show
So leave the lights on
No, you can't make me behave

(Oh oh, oh) So you say I'm complicated
That I must be out my mind
But you've had me underrated
Rated, rated, rated

(Ah ha) What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)

It's time to get the chains out
Is your tongue tied up?
Cause this is my ground
And I'm dangerous
And you can get off
But it's all about me tonight (tonight, ha)

(Oh oh, oh) So you say I'm complicated
That I must be outta my mind
But you've had me underrated
Rated, rated, rated

What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)

So you say I'm complicated
But you've had me underrated

(Ah ha) What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)
What's wrong with being, what's wrong with being
What's wrong with being confident? (Ah ha)"
386,Too Good,Drake,
387,Roses,The Chainsmokers,"Au beau milieu de tout ce moche
Je fais des voeux, des voeux de mioche
J'prends des clics, j'ai pris trop d'claques
Fini le chic de s'mettre en vrac

J'veux un amoureux transi...toire
Beau comme un Dieu auquel je veux bien croire
Qu'il vienne s'planter juste sous mon coeur
M'débarasser de ma laideur

J'veux plus d'miroirs aux alouettes
On m's déjà plumé la tête
Le corps et tout le reste

Au diable toutes mes névroses
Chagrin d'ego, J'en ai ma dose
J'vois désormais ma vie en Rose

J'veux être peinard dans un coma Idyllique
J'jette mes histoires d'amour éthyliques
Marre du point mort, J'passe la première
Gare si je mords, mais plus la poussière

J'veux plus d'miroirs aux alouettes
On m's déjà plumé la tête
Le corps et tout le reste

Je prends mes clics
J'ai pris trop d'claques
Fini le chic de s'mettre en vrac"
388,Cold Water (feat. Justin Bieber & MØ),Major Lazer,"Everybody gets high sometimes, you know
What else can we do when we're feeling low?
So take a deep breath and let it go
You shouldn't be drowning on your own

And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know

I won't let go
I'll be your life line tonight
I won't let go
I'll be your life line tonight

Cause we all get lost sometimes, you know?
It's how we learn, how we grow
And I wanna lay with you 'til I'm old
You shouldn't be fighting on your own

And if you feel you're sinking, I will jump right over
Into cold, cold water for you
And although time may take us into different places
I will still be patient with you
And I hope you know

I won't let go (I won't let go, no no, no more)
I'll be your life line tonight
I won't let go
I'll be your life line tonight

Come on, come on
Save me from my rocking boat
I just wanna stay afloat
I'm all alone
And I hope, I hope
Someone's gonna take me home
Somewhere I can rest my soul
I need to know you won't let go

I won't let go (I won't let go, no no, no no no no)
I'll be your life line tonight
You won't let go
I'll be your life line tonight

I won't let go
I won't let go"
389,Me Too,Meghan Trainor,
390,Light It Up (feat. Nyla & Fuse ODG) [Remix],Major Lazer,
391,Ain't Your Mama,Jennifer Lopez,"I ain't gon' be cookin' all day
I ain't your mama
I ain't gon' do your laundry
I ain't your mama
I ain't your mama
Boy, I ain't your mama

When you gon' get your act together?
I ain't your mama
No, I ain't your mama
No, I ain't your mama, no

Wake up, rise and shine
Oh yeah yeah yeah
Let's get to work on time
Oh yeah yeah yeah
No more playing videogames
Oh yeah yeah yeah
Things are about to change
'Round here, 'round here

We used to be crazy in love
Can we go back to how it was?
When did you get too comfortable?
'Cause I'm too good for that
I'm too good for that
Just remember that, hey

I ain't gon' be cookin' all day
I ain't your mama
I ain't gon' do your laundry
I ain't your mama
I ain't your mama
Boy, I ain't your mama

When you gon' get your act together?
I ain't your mama
No, I ain't your mama
No, I ain't your mama, no

Lucky to have these curves
Oh yeah yeah yeah
Stop gettin' on my nerves
Oh yeah yeah yeah
You still tryna ride this train?
Oh yeah yeah yeah
But somethings have gotta change
'Round here, 'round here

We used to be crazy in love
Can we go back to how it was?
When did you get too comfortable?
'Cause I'm too good for that
I'm too good for that
Just remember that, hey

I ain't gon' be cookin' all day
I ain't your mama
I ain't gon' do your laundry
I ain't your mama
I ain't your mama
Boy, I ain't your mama

When you gon' get your act together?
I ain't your mama
No, I ain't your mama
No, I ain't your mama, no

We used to be crazy in love
Can we go back to how it was?
When did you get too comfortable?
'Cause I'm too good for that
I'm too good for that
Just remember that, hey

I ain't gon' be cookin' all day
I ain't your mama
I ain't gon' do your laundry
I ain't your mama
I ain't your mama
Boy, I ain't your mama

When you gon' get your act together?
I ain't your mama

I ain't gon' be cookin' all day
I ain't your mama
I ain't gon' do your laundry
I ain't your mama
I ain't your mama
Boy, I ain't your mama

When you gon' get your act together?
I ain't your mama
No, I ain't your mama
No, I ain't your mama
No, I ain't your mama
No, I ain't your mama, no"
392,Close,Nick Jonas,"Oh damn, oh damn, oh damn
I'm so perplexed
With just one breath, I'm locked in
Oh damn, oh damn, oh damn
I'm so perplexed
On that, it's almost shocking
I know, I know you know you're scared
Your heart, your mind, your soul, your body
They won't, they won't, they won't be careful
But I guess that you don't know me

'Cause if I want you, and I want you, babe
Ain't going backwards, won't ask for space
'Cause space is just a word made up by someone who's afraid to get too

Close, oh
Oh, so close, oh
I want you close, ooh
'Cause space is just a word made up by someone who's afraid to get close, oh
Oh, so close, oh
I want you close, ooh
Oh, I want you close, and close ain't close enough, no

Oh man, oh man
I am not really known for ever being speechless
But now, but now somehow
My words roll off my tongue right onto your lips, oh
I'm keeping cool while you keep smiling
Saying all the things I'm thinking
Oh man, oh man
I am like you so I want proof of what you're feeling

'Cause if I want you, and I want you, babe
Ain't going backwards, won't ask for space
'Cause space is just a word made up by someone who's afraid to get too

Close, oh
Oh, so close, oh
I want you close, oh (yeah baby)
'Cause space was just a word made up by someone who's afraid to get close, oh
Oh, so close, ooh
I want you close, ooh
Oh, I want you close, and close ain't close enough, no

'Cause if I want you, and I want you, babe
Ain't going backwards, won't ask for space
'Cause space was just a word made up by someone who's afraid to get too 

Close
Close, oh (close baby)
Oh, so close, oh
I want you close, oh (baby)
'Cause space was just a word made up by someone who's afraid to get close, oh
Oh, so close, oh
I want you close, oh
Oh, I want you close, and close ain't close enough, no
Yeah baby (close oh)
Tell me baby what you want
(Close, oh)
Oh, I want you close, and close ain't close enough, no"
